Place Name,Suburb,Latitude,Longitude,Sports Played,Number of Field Courts,Field Surface Type,Facility Condition,Changerooms,Municipality,Address,Facility Name,Categories,Historical Information,Url
Hoppers Crossing Club,Hoppers Crossing,-37.86949,144.692773,Tennis (Outdoor),2.0,,,,Wyndham,Pannam Drive Hoppers Crossing 3029,,"['Wyndham', 'Hoppers Crossing', 'Sports', 'Tennis']",,
Jamieson Way Tennis & Netball Complex,Point Cook,-37.896312,144.748532,Tennis (Outdoor),4.0,Hard Court,4. Good,"Female, Male",Wyndham,Jamieson Way Point Cook 3030,,"['Wyndham', 'Point Cook', 'Sports', 'Tennis']",,
Price Reserse,Werribee,-37.973368,144.691765,Tennis (Outdoor),2.0,Hard Court,3. Average,,Wyndham,Beach Road Werribee 3030,,"['Wyndham', 'Werribee', 'Sports', 'Tennis']",,
Sanctuary Lakes Golf Club,Point Cook,-37.896097,144.762714,Tennis (Outdoor),3.0,,,,Wyndham,Greg Norman Drive Point Cook 3030,,"['Wyndham', 'Point Cook', 'Sports', 'Tennis']",,
Willow Green Park Tennis Courts,Point Cook,-37.885605,144.751023,Tennis (Outdoor),2.0,Hard Court,3. Average,,Wyndham,Spindrift Way Point Cook 3030,,"['Wyndham', 'Point Cook', 'Sports', 'Tennis']",,
Wootten Road Reserve,Tarneit,-37.8565,144.66,Tennis (Outdoor),9.0,Hard Court,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Wyndham,Wootten Road Tarneit 3029,,"['Wyndham', 'Tarneit', 'Sports', 'Tennis']",,
Wyndham Green Tennis Courts,Wyndham Vale,-37.887244,144.61954599999999,Tennis (Outdoor),1.0,Hard Court,3. Average,,Wyndham,Amber Place Wyndham Vale 3024,,"['Wyndham', 'Wyndham Vale', 'Sports', 'Tennis']",,
Wyndham Waters,Truganina,-37.851221,144.726537,Tennis (Outdoor),2.0,,,,Wyndham,Sayers Road Truganina 3029,,"['Wyndham', 'Truganina', 'Sports', 'Tennis']",,
Granite Road Circuit,Little River,-37.960710999999996,144.49856,Cycling,1.0,Road,,,Wyndham,You Yangs Road Little River,,"['Wyndham', 'Little River', 'Sports', 'Cycling']",,
Kirksbridge Circuit,Little River,-37.960710999999996,144.49856,Cycling,1.0,Road,,,Wyndham,You Yangs Road Little River,,"['Wyndham', 'Little River', 'Sports', 'Cycling']",,
Truganina Club Grounds,Truganina,-37.822483,144.721688,Equestrian,,,,,Wyndham,Woods Road Truganina 3029,,"['Wyndham', 'Truganina', 'Sports']",,
Aeromax Fitness Health Club,Werribee,-37.875501,144.680496,Aerobics,,,,,Wyndham,Derrimut Road Werribee 3030,,"['Wyndham', 'Werribee', 'Sports', 'Aerobics']",,
Contours Tarneit,Hoppers Crossing,-37.849675,144.70575,Aerobics,,,,,Wyndham,Sayers Road Hoppers Crossing 3029,,"['Wyndham', 'Hoppers Crossing', 'Sports', 'Aerobics']",,
Curves For Women,Werribee,-37.894273,144.673475,Aerobics,,,,,Wyndham,87-89 Railway Avenue Werribee 3030,,"['Wyndham', 'Werribee', 'Sports', 'Aerobics']",,
EFM Health Clubs Tarneit,Tarneit,-37.847983,144.702,Aerobics,,,,,Wyndham,35 Thomas Carr Drive Tarneit 3029,,"['Wyndham', 'Tarneit', 'Sports', 'Aerobics']",,
Fenix Fitness Club Point Cook,Point Cook,-37.884,144.735125,Aerobics,,,,,Wyndham,2 Main Street Point Cook 3030,,"['Wyndham', 'Point Cook', 'Sports', 'Aerobics']",,
In-Balance Fitness Werribee,Werribee,-37.898392,144.66184199999998,Aerobics,,,,,Wyndham,3 Manly Street Werribee 3030,,"['Wyndham', 'Werribee', 'Sports', 'Aerobics']",,
Manor Lake Fitness,Wyndham Vale,-37.876367,144.61473999999998,Aerobics,,,,,Wyndham,Manor Lakes Boulevard Wyndham Vale 3024,,"['Wyndham', 'Wyndham Vale', 'Sports', 'Aerobics']",,
My Gym Hoppers Crossing,Hoppers Crossing,-37.871074,144.72919,Aerobics,,,,,Wyndham,Graham Court Hoppers Crossing 3029,,"['Wyndham', 'Hoppers Crossing', 'Sports', 'Aerobics']",,
Platinum Health Club Hoppers Crossing,Hoppers Crossing,-37.872529,144.717075,Aerobics,,,,,Wyndham,1 Motto Court Hoppers Crossing 3029,,"['Wyndham', 'Hoppers Crossing', 'Sports', 'Aerobics']",,
Re-Creation Health Club Point Cook,Point Cook,-37.871958,144.7465,Aerobics,,,,,Wyndham,22-30 Wallave Avenue Point Cook 3030,,"['Wyndham', 'Point Cook', 'Sports', 'Aerobics']",,
Dunnings Road Reserve,Point Cook,-37.884434999999996,144.739994,Australian Rules Football,1.0,Grass,3. Average,"Female, Male, Umpire/Officials",Wyndham,Dunnings Road Point Cook 3030,,"['Wyndham', 'Point Cook', 'Sports', 'Football']",,
Goddard Street Reserve,Tarneit,-37.836511,144.677344,Australian Rules Football,2.0,Grass,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Wyndham,Goddard Street Tarneit 3029,,"['Wyndham', 'Tarneit', 'Sports', 'Football']",,
Heathdale Glen Orden Reserve,Werribee,-37.885028999999996,144.67413200000001,Australian Rules Football,2.0,Grass,4. Good,"Umpire/Officials, Unisex",Wyndham,Kookaburra Avenue Werribee 3030,,"['Wyndham', 'Werribee', 'Sports', 'Football']",,
Hogans Road Reserve,Hoppers Crossing,-37.86262,144.694398,Australian Rules Football,2.0,Grass,3. Average,"Umpire/Officials, Unisex",Wyndham,Hogans Road Hoppers Crossing 3029,,"['Wyndham', 'Hoppers Crossing', 'Sports', 'Football']",,
Howqua Way Reserve,Wyndham Vale,-37.875561,144.60441,Australian Rules Football,1.0,Grass,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Wyndham,Howqua Way Wyndham Vale 3024,,"['Wyndham', 'Wyndham Vale', 'Sports', 'Football']",,
Prudence Parade Reserve,Point Cook,-37.907501,144.73775700000002,Australian Rules Football,1.0,Grass,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Wyndham,Prudence Parade Point Cook 3030,,"['Wyndham', 'Point Cook', 'Sports', 'Football']",,
Soldiers Reserve,Werribee,-37.905382,144.666933,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Wyndham,College Road Werribee 3030,,"['Wyndham', 'Werribee', 'Sports', 'Football']",,
Warringa Crescent Reserve,Hoppers Crossing,-37.885037,144.688805,Australian Rules Football,1.0,Grass,4. Good,"Female, Male, Unisex",Wyndham,Warringa Crescent Hoppers Crossing 3029,,"['Wyndham', 'Hoppers Crossing', 'Sports', 'Football']",,
Windorah Drive Reserve,Point Cook,-37.900012,144.729621,Australian Rules Football,1.0,Grass,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Wyndham,Windorah Drive Point Cook 3030,,"['Wyndham', 'Point Cook', 'Sports', 'Football']",,
Wyndham Vale Reserve,Wyndham Vale,-37.899304,144.624357,Australian Rules Football,1.0,Grass,3. Average,"Umpire/Officials, Unisex",Wyndham,Honour Avenue Wyndham Vale 3024,,"['Wyndham', 'Wyndham Vale', 'Sports', 'Football']",,
Wyndham Vale South Reserve,Werribee,-37.900234999999995,144.623519,Australian Rules Football,2.0,Grass,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Wyndham,Black Forest Road Werribee 3030,,"['Wyndham', 'Werribee', 'Sports', 'Football']",,
BoxingFit Hoppers Crossing,Hoppers Crossing,-37.869807,144.719874,Boxing,,,,,Wyndham,75-85 Elm Park Drive Hoppers Crossing 3029,,"['Wyndham', 'Hoppers Crossing', 'Sports', 'Boxing']",,
Gordon O'Keefe Reserve,Werribee,-37.902769,144.627805,Equestrian,,,,,Wyndham,Black Forest Road Werribee 3030,,"['Wyndham', 'Werribee', 'Sports']",,
Victorian University Fitness Centres,Werribee,-37.87829,144.680757,Fitness / Gymnasium Workouts,,,,,Wyndham,Hoppers Lane Werribee 3030,,"['Wyndham', 'Werribee', 'Sports', 'Gymnasium']",,
Werribee Park Golf Club,Werribee,-37.938134999999996,144.671747,Golf,,18 Hole Course - Public,,,Wyndham,K Road Werribee 3030,,"['Wyndham', 'Werribee', 'Sports', 'Golf']",,
Gym Monkeys,Hoppers Crossing,-37.874099,144.723385,Gymnastics,,,,,Wyndham,3 Shaft Court Hoppers Crossing 3029,,"['Wyndham', 'Hoppers Crossing', 'Sports', 'Gymnastics']",,
Resilience Gymnastic,Hoppers Crossing,-37.871781,144.728917,Gymnastics,,,,,Wyndham,15 Graham Court Hoppers Crossing 3029,,"['Wyndham', 'Hoppers Crossing', 'Sports', 'Gymnastics']",,
Werribee Gymnastic Club,Werribee,-37.915129,144.658592,Gymnastics,,,,,Wyndham,52 Riverside Avenue Werribee 3030,,"['Wyndham', 'Werribee', 'Sports', 'Gymnastics']",,
Werribee RSL Bowls Club,Werribee,-37.905445,144.651117,Lawn Bowls,3.0,"Artificial Turf, Grass",4. Good,"Female, Male",Wyndham,Watton Street Werribee 3030,,"['Wyndham', 'Werribee', 'Sports']",,
Victoria University of Technology,Werribee,-37.891872,144.70688,Cycling,1.0,,,,Wyndham,"Princes Freeway Onramp, Werribee, City of Wyndham, Victoria, 3030, Australia",,"['Wyndham', 'Werribee', 'Sports', 'Cycling']",,
Citizenâs Park Oval and Jack Dyer Pavilion,Richmond,-37.817218,145.000351,Athletics,1.0,Grass Running Track,2. Poor,"Female, Male, Umpire/Officials",Yarra,Gleadell Street Richmond 3121,,"['Yarra', 'Richmond', 'Sports', 'Athletics']",,
George Knott Athletics Track and Ray Coverdale Pavilion,Clifton Hill,-37.784205,145.002319,Athletics,1.0,Synthetic Running Track,4. Good,"Female, Male",Yarra,Heidelberg Road Clifton Hill 3068,,"['Yarra', 'Clifton Hill', 'Sports', 'Athletics']",,
Alfred Crescent Oval and Pavilion,Fitzroy,-37.78753,144.982377,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Yarra,Brunswick Street Fitzroy 3065,,"['Yarra', 'Fitzroy', 'Sports', 'Football']",,
Alphington Park Oval and Pavilion,Alphington,-37.783778999999996,145.029131,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Yarra,Parkview Road Alphington 3067,,"['Yarra', 'Alphington', 'Sports', 'Football']",,
Loughan Oval and Johnson Pavilion,Burnley,-37.828576,145.020462,Australian Rules Football,1.0,Grass,3. Average,"Umpire/Officials, Unisex",Yarra,Swan Street Burnley 3121,,"['Yarra', 'Burnley', 'Sports', 'Football']",,
Ramsden Street Oval and Pavilion,Fairfield,-37.789873,145.00311100000002,Australian Rules Football,1.0,Grass,2. Poor,,Yarra,Ramsden Street Fairfield 3078,,"['Yarra', 'Fairfield', 'Sports', 'Football']",,
Victoria Park,Abbotsford,-37.79858,144.996607,Australian Rules Football,1.0,Grass,4. Good,"Male, Umpire/Officials",Yarra,Turner Street Abbotsford 3067,,"['Yarra', 'Abbotsford', 'Sports', 'Football']",,
W T Peterson Oval & Edinburgh Gardens Change Rooms,Fitzroy,-37.78753,144.982377,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Yarra,Brunswick Street Fitzroy 3065,,"['Yarra', 'Fitzroy', 'Sports', 'Football']",,
Collingwood Secondary College,Collingwood,-37.803256,144.98903,Basketball,2.0,Wooden Gymnasium,3. Average,,Yarra,Mc Cutcheon Way Collingwood,,"['Yarra', 'Collingwood', 'Sports', 'Basketball']",,
Fitzroy Secondary  School,Fitzroy,-37.800909000000004,144.97915700000001,Basketball,1.0,Wooden Gymnasium,,,Yarra,Falconer Street Fitzroy,,"['Yarra', 'Fitzroy', 'Sports', 'Basketball']",,
Melbourne Girls College,Burnley,-37.82969,145.012699,Basketball,2.0,Wooden Gymnasium,,,Yarra,Yarra Boulevard Burnley,,"['Yarra', 'Burnley', 'Sports', 'Basketball']",,
Princes Hill Seconary College,Princes Hill,-37.781818,144.966587,Basketball,1.0,Wooden Gymnasium,,,Yarra,Arnold Strret Princes Hill,,"['Yarra', 'Princes Hill', 'Sports', 'Basketball']",,
Edinburgh Gardens Bocce Courts,Fitzroy,-37.78753,144.982377,Bocce,1.0,,,,Yarra,Brunswick Street Fitzroy 3065,,"['Yarra', 'Fitzroy', 'Sports']",,
Hardy Gallagher Reserve Bocce Courts,Princess Hill,-37.779196999999996,144.967058,Bocce,3.0,,,,Yarra,Park Street Princess Hill 3054,,"['Yarra', 'Princess Hill', 'Sports']",,
Melbourne Aboriginal Sport and Recreation Gym,Fitzroy,-37.805467,144.974449,Boxing,,,3. Average,,Yarra,Gertrude Street Fitzroy,,"['Yarra', 'Fitzroy', 'Sports', 'Boxing']",,
Richmond Boxing Club,Richmond,-37.81838,145.001525,Boxing,,,2. Poor,"Female, Male",Yarra,Gleadell Street Richmond,,"['Yarra', 'Richmond', 'Sports', 'Boxing']",,
Stanton Street Hall,Collingwood,-37.801956,144.98816399999998,Boxing,,,4. Good,,Yarra,Stanton Street Collingwood,,"['Yarra', 'Collingwood', 'Sports', 'Boxing']",,
Richmond Recreation Centre,Richmond,-37.817688000000004,145.002381,Canoe Polo,,,,,Yarra,Gleadell Street Richmond 3121,,"['Yarra', 'Richmond', 'Sports', 'Polo']",,
Fairfield Canoe Club,Fairfield,-37.785639,145.01875900000002,Canoeing,,,,,Yarra,"Fairfield Canoe Club, The Esplanade, Fairfield, City of Yarra, Victoria, 3078, Australia",,"['Yarra', 'Fairfield', 'Sports', 'Canoeing']",,
Alan Bain Reserve and Pavilion,Cremorne,-37.830218,145.001134,Cricket,1.0,Synthetic Pitch,4. Good,"Umpire/Officials, Unisex",Yarra,Church Street Cremorne 3121,,"['Yarra', 'Cremorne', 'Sports', 'Cricket']",,
Burnley Park Oval and OâConnell Pavilion,Burnley,-37.826103,145.01414499999998,Cricket,1.0,Synthetic Pitch,4. Good,"Umpire/Officials, Unisex",Yarra,Park Grove Burnley 3121,,"['Yarra', 'Burnley', 'Sports', 'Cricket']",,
Corben Oval,Abbotsford,-37.795643,145.00771799999998,Cricket,1.0,Turf Pitch,2. Poor,Male,Yarra,Yarra Bend Road Abbotsford 3067,,"['Yarra', 'Abbotsford', 'Sports', 'Cricket']",,
Fairfield Park Oval and Maxwell Sutherland Pavilion,Fairfield,-37.785738,145.009954,Cricket,1.0,Synthetic Pitch,2. Poor,"Male, Umpire/Officials",Yarra,Yarra Bend Road Fairfield 3078,,"['Yarra', 'Fairfield', 'Sports', 'Cricket']",,
Fairlea Ovals,Fairfield,-37.795643,145.00771799999998,Cricket,2.0,Synthetic Pitch,1. Very Poor,Male,Yarra,Yarra Bend Road Fairfield 3078,,"['Yarra', 'Fairfield', 'Sports', 'Cricket']",,
Fletcher 1 and 2 Soccer Pitches and Graham Pavilion,Burnley,-37.828576,145.020462,Cricket,1.0,Synthetic Pitch,3. Average,"Male, Umpire/Officials",Yarra,Swan Street Burnley 3121,,"['Yarra', 'Burnley', 'Sports', 'Cricket']",,
Mc Cutcheon Oval,Fairfield,-37.799975,145.008575,Cricket,1.0,Turf Pitch,,,Yarra,Yarra Bend Road Fairfield,,"['Yarra', 'Fairfield', 'Sports', 'Cricket']",,
Sir Herbert Olney Oval,Abbotsford,-37.795643,145.00771799999998,Cricket,1.0,Turf Pitch,2. Poor,"Male, Umpire/Officials",Yarra,Yarra Bend Road Abbotsford 3067,,"['Yarra', 'Abbotsford', 'Sports', 'Cricket']",,
W J COX,Fairfield,-37.799975,145.008575,Cricket,1.0,Synthetic Pitch,1. Very Poor,Male,Yarra,Yarra Bend Road Fairfield,,"['Yarra', 'Fairfield', 'Sports', 'Cricket']",,
Westfield Ovals,Fairfield,-37.795643,145.00771799999998,Cricket,1.0,Concrete Pitch,,,Yarra,Yarra Bend Road Fairfield 3078,,"['Yarra', 'Fairfield', 'Sports', 'Cricket']",,
WT Long Oval,Abbotsford,-37.795643,145.00771799999998,Cricket,1.0,Turf Pitch,,,Yarra,Yarra Bend Road Abbotsford 3067,,"['Yarra', 'Abbotsford', 'Sports', 'Cricket']",,
All Seasons Personal Fitness,Richmond,-37.817479,144.99123899999998,Fitness / Gymnasium Workouts,,,,,Yarra,41 Bridge Road Richmond 3121,,"['Yarra', 'Richmond', 'Sports', 'Gymnasium']",,
Andrew Baxter Body Concepts Studio,Richmond,-37.826115,144.990736,Fitness / Gymnasium Workouts,,,,,Yarra,30 Cremorne Street Richmond 3121,,"['Yarra', 'Richmond', 'Sports', 'Gymnasium']",,
Anytime Fitness Alphington,Alphington,-37.780993,145.031394,Fitness / Gymnasium Workouts,,,,,Yarra,738 Heidelberg Road Alphington 3067,,"['Yarra', 'Alphington', 'Sports', 'Gymnasium']",,
Anytime Fitness Richmond,Richmond,-37.820398,145.003818,Fitness / Gymnasium Workouts,,,,,Yarra,8/53 Coppin Street Richmond 3121,,"['Yarra', 'Richmond', 'Sports', 'Gymnasium']",,
Australian Institute of Fitness,Richmond,-37.824921999999994,144.998156,Fitness / Gymnasium Workouts,1.0,,,,Yarra,405 Church Street Richmond 3121,,"['Yarra', 'Richmond', 'Sports', 'Gymnasium']",,
Balance & Control Pilates Studio,Richmond,-37.811510999999996,145.007549,Fitness / Gymnasium Workouts,,,,,Yarra,474 Victoria Street Richmond 3121,,"['Yarra', 'Richmond', 'Sports', 'Gymnasium']",,
Collingwood Housing Estate Gymnasium,Collingwood,-37.80287,144.992863,Fitness / Gymnasium Workouts,1.0,,3. Average,,Yarra,Hoddle Street Collingwood 3066,,"['Yarra', 'Collingwood', 'Sports', 'Gymnasium']",,
Collingwood Leisure Centre,Clifton Hill,-37.787996,144.994351,Fitness / Gymnasium Workouts,1.0,,5. Very Good,"Female, Male, Unisex",Yarra,Turnbull Street Clifton Hill 3068,,"['Yarra', 'Clifton Hill', 'Sports', 'Gymnasium']",,
CrossFit Richmond,Richmond,-37.818162,145.00958,Fitness / Gymnasium Workouts,1.0,,,,Yarra,116 Murphy Street Richmond 3121,,"['Yarra', 'Richmond', 'Sports', 'Gymnasium']",,
CrossFit Victoria,Fitzroy,-37.79594,144.97753,Fitness / Gymnasium Workouts,1.0,,,,Yarra,62 Rose Street Fitzroy 3065,,"['Yarra', 'Fitzroy', 'Sports', 'Gymnasium']",,
CrossFit Victoria,Fitzroy,-37.795964,144.977608,Fitness / Gymnasium Workouts,,,,,Yarra,2/62 Rose Street Fitzroy 3065,,"['Yarra', 'Fitzroy', 'Sports', 'Gymnasium']",,
Curves North Fitzroy,Fitzroy North,-37.782090000000004,144.985022,Fitness / Gymnasium Workouts,,,,,Yarra,278 St. Georges Road Fitzroy North 3068,,"['Yarra', 'Fitzroy North', 'Sports', 'Gymnasium']",,
Fitness 24 Hours,Fitzroy,-37.79809,144.97921499999998,Fitness / Gymnasium Workouts,,,,,Yarra,133 Johnston Street Fitzroy 3065,,"['Yarra', 'Fitzroy', 'Sports', 'Gymnasium']",,
Fitness First,Richmond,-37.829370000000004,144.9964,Fitness / Gymnasium Workouts,1.0,,,,Yarra,560 Church Street Richmond 3121,,"['Yarra', 'Richmond', 'Sports', 'Gymnasium']",,
Fitness Live,Richmond,-37.820335,145.00245800000002,Fitness / Gymnasium Workouts,,,,,Yarra,4 Stephenson Street Richmond 3121,,"['Yarra', 'Richmond', 'Sports', 'Gymnasium']",,
Fitness Ring Studio,Richmond,-37.809937,144.994548,Fitness / Gymnasium Workouts,,,,,Yarra,488 Victoria Street Richmond 3121,,"['Yarra', 'Richmond', 'Sports', 'Gymnasium']",,
fitness Xplosion,Fitzroy North,-37.791351,144.976277,Fitness / Gymnasium Workouts,,,,,Yarra,St. Georges Road Fitzroy North 3068,,"['Yarra', 'Fitzroy North', 'Sports', 'Gymnasium']",,
FITROCk,Richmond,-37.824628999999995,144.988844,Fitness / Gymnasium Workouts,1.0,,,,Yarra,358 Swan Street Richmond 3121,,"['Yarra', 'Richmond', 'Sports', 'Gymnasium']",,
Fitzroy Pilates Studios,Fitzroy,-37.802202,144.977592,Fitness / Gymnasium Workouts,,,,,Yarra,175 Brunswick Street Fitzroy 3065,,"['Yarra', 'Fitzroy', 'Sports', 'Gymnasium']",,
Fitzroy Swimming Pool,Fitzroy,-37.7939,144.9809,Fitness / Gymnasium Workouts,,,3. Average,"Female, Male",Yarra,Alexandra Parade Fitzroy 3065,,"['Yarra', 'Fitzroy', 'Sports', 'Gymnasium']",,
Genesis Richmond,Richmond,-37.82723,145.019798,Fitness / Gymnasium Workouts,1.0,,,,Yarra,576 Swan Street Richmond 3121,,"['Yarra', 'Richmond', 'Sports', 'Gymnasium']",,
Healthy Fit,Fitzroy North,-37.784533,144.982525,Fitness / Gymnasium Workouts,,,,,Yarra,191 St. Georges Road Fitzroy North 3068,,"['Yarra', 'Fitzroy North', 'Sports', 'Gymnasium']",,
Hunts Fitness Centre,Fitzroy,-37.79807,144.975969,Fitness / Gymnasium Workouts,,,,,Yarra,41 Johnston Street Fitzroy 3065,,"['Yarra', 'Fitzroy', 'Sports', 'Gymnasium']",,
Hunts Squash & Fitness Centre,Fitzroy,-37.79807,144.975969,Fitness / Gymnasium Workouts,1.0,,,,Yarra,41 Johnston Street Fitzroy 3065,,"['Yarra', 'Fitzroy', 'Sports', 'Gymnasium']",,
Hurl's Fitness,Clifton Hill,-37.789497,144.989794,Fitness / Gymnasium Workouts,1.0,,,,Yarra,107 Queens Parade Clifton Hill 3068,,"['Yarra', 'Clifton Hill', 'Sports', 'Gymnasium']",,
Mind and Body,Fitzroy,-37.79807,144.975969,Fitness / Gymnasium Workouts,,,,,Yarra,81 Johnston Street Fitzroy 3065,,"['Yarra', 'Fitzroy', 'Sports', 'Gymnasium']",,
Muscle & Body Shape Gym,Richmond,-37.823772999999996,144.992693,Fitness / Gymnasium Workouts,1.0,,,,Yarra,25 Wangaratta Street Richmond 3121,,"['Yarra', 'Richmond', 'Sports', 'Gymnasium']",,
Pisces Speacilised Fitness,Richmond,-37.817527,144.991455,Fitness / Gymnasium Workouts,1.0,,,,Yarra,45 Bridge Road Richmond 3121,,"['Yarra', 'Richmond', 'Sports', 'Gymnasium']",,
