Address,Business Category,Name,Postcode,Suburb,Municipality,Latitude,Longitude,Categories,Contact
"Park Hills Campus, Park Boulevard, Ferntree Gully, Victoria 3156",Volunteering,U3A Knox Inc.,3156,Ferntree Gully,Knox City Council,-37.86804,145.2667,"['Knox City Council', 'Ferntree Gully', 'Volunteering']",https://www.u3aknox.org.au
"C/o Vision Australia Foundation, 454 Glenferrie Road, Kooyong, Victoria 3144",Volunteering,U3A Kooyong Inc,3144,Kooyong,Stonnington City Council,-37.83888,145.03366,"['Stonnington City Council', 'Kooyong', 'Volunteering']",www.u3akooyong.org.au
"PO Box 557, Lilydale, Victoria 3140",Volunteering,U3A Lilydale Inc,3140,Lilydale,Yarra Ranges Shire Council,-37.76177978515625,145.3716278076172,"['Yarra Ranges Shire Council', 'Lilydale', 'Volunteering']",https://www.u3ayarraranges.com.au/courses-activities
"C/o  VUT Melton Campus, Cnr Wilson and Rees Roads, Melton South, Victoria 3338",Volunteering,U3A Melton Campus Inc,3338,Melton South,Melton City Council,-37.70797,144.56381,"['Melton City Council', 'Melton South', 'Volunteering']",https://www.u3amelton.com
"Moorleigh Community Village, 92  Bignell Road, Bentleigh East, Victoria 3165",Volunteering,U3A Moorleigh Inc.,3165,Bentleigh East,Glen Eira City Council,-37.93407,145.0721,"['Glen Eira City Council', 'Bentleigh East', 'Volunteering']",www.u3amoorleigh.com.au
"Currawong Community Centre, Currawong Street, Mornington, Victoria 3931",Volunteering,U3A Mornington Inc,3931,Mornington,Mornington Peninsula Shire Council,-38.22491,145.05766,"['Mornington Peninsula Shire Council', 'Mornington', 'Volunteering']",https://www.u3aonline.org.au/location/u3a-mornington-inc
"Mary Kehoe Centre, Albert Park, Victoria 3206",Volunteering,U3A Port Phillip Inc.,3206,Albert Park,Port Phillip City Council,-37.847286224365234,144.9588165283203,"['Port Phillip City Council', 'Albert Park', 'Volunteering']",https://www.u3app.org.au
"The Old Shire Office, 359A Nepean Highway, Dromana, Victoria 3936",Volunteering,U3A Southern Peninsula Inc.,3936,Dromana,Mornington Peninsula Shire Council,-38.33633,144.95757,"['Mornington Peninsula Shire Council', 'Dromana', 'Volunteering']",https://u3asouthpen.org.au
"570 Orrong Road, Armadale, Victoria 3143",Volunteering,U3A Stonnington Inc.,3143,Armadale,Stonnington City Council,-37.8548,145.01182,"['Stonnington City Council', 'Armadale', 'Volunteering']",u3astonnington.org.au
"20 Norman Court, Mount Waverley, Victoria 3149",Volunteering,U3A Waverley Inc,3149,Mount Waverley,Monash City Council,-37.86844,145.12483,"['Monash City Council', 'Mount Waverley', 'Volunteering']",https://u3awaverley.org.au
"18  Federal Street, Footscray, Victoria 3011",Volunteering,U3A Western Region Inc.,3011,Footscray,Maribyrnong City Council,-37.85385,144.88962,"['Maribyrnong City Council', 'Footscray', 'Volunteering']",https://u3auwa.org
"130 Buckley Street, Footscray, Victoria 3011",Volunteering,Volunteer West,3011,Footscray,Maribyrnong City Council,-37.80285,144.89122,"['Maribyrnong City Council', 'Footscray', 'Volunteering']",https://www.volunteerwest.org.au
"68 Macorna Street, Watsonia North, Victoria 3087",Volunteering,Volunteers of Banyule,3087,Watsonia North,Banyule City Council,-37.69757,145.0852,"['Banyule City Council', 'Watsonia North', 'Volunteering']",https://www.cisvic.org.au/getting-help/volunteering
"C/o  Tui Coto, Unit 192 Society Court, Walmsley Village, Kilsyth, Victoria 3137",Volunteering,Walmsley Village U3A Inc,3137,Kilsyth,Yarra Ranges Shire Council,-37.80667,145.30838,"['Yarra Ranges Shire Council', 'Kilsyth', 'Volunteering']",https://www.u3aonline.org.au/location/walmsley-village-u3a-inc
"Mernda Community House, Mernda, Victoria 3754",Volunteering,Whittlesea U3A Inc,3754,Mernda,Whittlesea City Council,-37.587310791015625,145.10313415527344,"['Whittlesea City Council', 'Mernda', 'Volunteering']",https://whittleseau3a.org.au
"208 Burgundy Street, (Cnr. Studley Road), Heidelberg, Victoria 3084",Volunteering,Yarra Valley U3A Inc,3084,Heidelberg,Banyule City Council,-37.75488,145.06138,"['Banyule City Council', 'Heidelberg', 'Volunteering']",https://www.u3ayarraranges.com.au
"Chisholm Institute, Frankston, Victoria 3199","Volunteering,Walking Club/Group",U3A Frankston Inc.,3199,Frankston,Frankston City Council,-38.13657,145.13678,"['Frankston City Council', 'Frankston', 'Volunteering']",https://www.u3aonline.org.au/location/u3a-frankston-inc
"808 Doncaster Road, Doncaster, Victoria 3108","Disability,Recreation Group,Volunteering",Manningham Youth and Family Services,3108,Doncaster,Manningham City Council,-37.78698,145.1396,"['Manningham City Council', 'Doncaster', 'Volunteering']",https://www.manningham.vic.gov.au/find-youth-services
