Event Name,Place Name,Description,Day,Address,Phone Number,URL,Suburb,Tags
"Chinese Seniors Including Information Sessions, Physical Exercise, Meals And Outings: Take part in community activities for Chinese seniors including information sessions physical In",Chinese Community Healthy Advisory of Australia,"Take part in community activities for Chinese seniors including information sessions, physical exercise, meals and outings. Language spoken by participants is Cantonese and Mandarin.",Friday,"Multicultural Hub, 506 Elizabeth Street, Melbourne",9658 9190,healthyageing@melbourne.vic.gov.au,Melbourne,"[Health and Wellbeing, Social Groups]"
Spanish seniors gathering,Federation of Spanish Speaking Senior Citizens in Victoria,"Join in meals, cultural, social and educational activities. Language spoken by participants is Spanish.",Thursday ,"Ross House, 247-251 Flinders Lane, Melbourne",9650 1210,spanishfeder@yahoo.com.au,Melbourne,[Social Groups]
Chinese Qigong,Health Qigong,"Activate your mind, body and soul with this Chinese system of physical exercise and breathing control, related to tai chi.",Friday ,"Federation Square. The Square, corner of Swanston and Flinders Street, Melbourne",9889 9999,"info@taichiaustralia.com.au, taichiaustralia.com.au",Melbourne,[Health and Wellbeing]
Meditation,Meditation,"Escape the stress and busyness of city life to discover the peace of meditation in 30 minute meditation sessions. Be guided through simple meditations that relax the mind and body, leading to a deep experience of inner peace and contentment. All ages and beginners welcome.",Tuesday,"Federation Square, Corner Flinders and Swanston Street, Melbourne",9670 6369,"info@meditateinmelbourne.org, meditateinmelbourne.org",Melbourne,[Health and Wellbeing]
Arabic Church seniors meals and social,St Nicholas Antiochian Orthodox Church Senior Citizens Group,Join in meals and social activities. Language spoken by participant is Arabic.,Tuesday ,"St Nicholas Antiochian Orthodox Church, 176 Simpson Street, East Melbourne",9417 2266,"info@stnicholas.org.au, stnicholas.org.au",East Melbourne,[Social Groups]
Tai Chi for Health,Tai Chi for Health,Experience the calming qualities of tai chi with a qualified instructor. Please note these sessions are delivered by different providers.,Tuesday,"Federation Square. The Square, Corner of Swanston and Flinders streets, Melbourne",9889 9999,"info@taichiaustralia.com.au, taichiaustralia.com.au",Melbourne,[Health and Wellbeing]
Thursday Lunchtime Organ Recitals,Thursday Lunchtime Organ Recitals,"Every Thursday, the grand organ comes to life for a free 30 minute recital.",Thursday ,"St Michaelâ€™s Uniting Church, 120 Collins Street, Melbourne",9654 5120,"office@stmichaels.org.au, stmichaels.org.au",Melbourne,[Arts and Culture]
East African Elders Association,East African Elders Social,"Enjoy meals, outings and social activities with other men. If interested please attend on the day and speak to volunteer committee members. Language spoken by participant is Somali.",Sunday ,"Kensington Neighbourhood Centre, 18 Anthony Street, Kensington",9658 9190,healthyageing@melbourne.vic.gov.au,Kensington,[Social Groups]
Elderly Greek Social,Elderly Greek Club of Kensington and Flemington,"Share in meals, outings, games and other social activities. If interested please attend on the day and speak to volunteer committee members. Language spoken by participants is Greek.",Friday ,"Kensington Neighbourhood Centre, 18 Anthony Street, Kensington",9658 9190,healthyageing@melbourne.vic.gov.au,Kensington,[Social Groups]
Story of vietnamese elder refugees,Indochinese Elderly Refugees Association Vietnamese Elderly Social Group,Join in meals and social activities. Language spoken by participants is Vietnamese.,Wednesday ,"Community Hub, 94 Ormond Street, Kensington",9429 1307,"adminassistant@iera.org.au, iera.org.au",Kensington,[Social Groups]
Coptic elderly social,St Maryâ€™s Coptic Orthodox Church Social Support Program for Coptic Elderly People,"Take part in meals, information and planned activities. Language spoken by participants is Arabic.",Friday ,"5 Epsom Road, Kensington",0406 887 884,hisvine.com/church/25/St-Mary-Church,Kensington,[Social Groups]
Bingo Wednesday Social,Wednesday Social Group,Enjoy a two-course meal and bingo in the company of this friendly social group. Weekly lunches alternate with a bus trip once a month.,Wednesday ,"Kensington Neighbourhood House, 89 McCracken Street, Kensington",9376 6366,"info@kenhouse.org.au, kensingtonneighbourhoodhouse.com",Kensington,[Social Groups]
Melrose Art,Melrose Art Group,Take part in weekly painting and craft activities for seniors from all cultural backgrounds.,Monday ,"Jean McKendry Neighbourhood Centre, 91-111 Melrose Street, North Melbourne",9328 1665 or mobile 0403 443 021,healthyageing@melbourne.vic.gov.au,North Melbourne,[Arts and Culture]
Nase Zene,Nase Zene,"Share in meals, celebrations, outings, information and socialising. Language spoken by participants is Serbo-Croatian.",Thursday ,"Jean McKendry Neighbourhood Centre, 91-111 Melrose Street, North Melbourne",0402 903 713,info@slavicwelfare.com.au,North Melbourne,[Social Groups]
Chinese get connected,North Melbourne Chinese Association,"Come along and join in line and social dancing, mahjong, cards, gentle exercise, table tennis, lion dancing and qigong. No contact details available. If interested please attend on the day and speak to volunteer committee members. Languages spoken by participants are Cantonese and Mandarin.",Wednesday ,"North Melbourne Community Centre, 49-53 Buncle Street, North Melbourne",9658 9190,https://nmcc.ymca.org.au/,North Melbourne,[Social Groups]
Spanish Elderly arts and crafts,Spanish (Speaking) Elderly Group of North Melbourne,"Enjoy meals, art and craft, outings and social activities. Language spoken by participants is Spanish.",Tuesday ,"Jean McKendry Neighbourhood Centre, 91-111 Melrose Street, North Melbourne",0403 358 346,evelyn.montalvo57@gmail.com,North Melbourne,[Social Groups]
