Municipality,Place Name,Feature Type Code,Feature Type,Longitude,Latitude,Historical Information,Url,Organisation Name
BALLARAT CITY,ADDINGTON,PRSH,PARISH,143.6768056,-37.3479167,"Name taken from William Leonard Addington, Second Viscount Sidmouth, of Sidmouth, Devon",,
UNINCORPORATED,ADDIS BAY,BAY,BAY,143.8439708,-38.6823327,"Named after Lieutenant Edward Brown Addis, one of the earliest Crown Land Commissioners in the Port Phillip District (Victoria).",,
SURF COAST SHIRE,ADDISCOT BEACH,BEAC,BEACH,144.2567822,-38.3823278,,,
HEPBURN SHIRE,ADEKATE HOLIDAY CAMP,CAGR,CAMP GROUND,143.9634722,-37.4581944,,,
MORNINGTON PENINSULA SHIRE,ADELAIDE RESERVE,PARK,PARK,145.0341809,-38.2310028,,,
TOWONG SHIRE,ADJIE,PRSH,PARISH,147.7043056,-36.3340278,,,
FRANKSTON CITY,ADRIAN BUTLER OVAL,PARK,PARK,145.1429167,-38.15375,,,
WHITEHORSE CITY,ADRIAN DANAHER RESERVE,PARK,PARK,145.202208,-37.8365468,"Name honours Adrian Danaher (1928-2005), who lived in Ellad Close for 35 years, and who made a substantial contribution to the local community through sports coaching and other community involvement.  He had a strong interest in the use and maintenance of the reserve including watering the new trees and arranging an annual neighbourhood get-together.",,City of Whitehorse
GREATER GEELONG CITY,ADRIAN MANNIX RESERVE,PARK,PARK,144.5519006,-38.1563335,"Name honours Adrian Mannix, who was a councillor on the Bellarine Rural City Council and was Mayor for one term. He was recognised for his work with Bellarine Peninsula communities, particularly in the Drysdale and Clifton Springs areas.",,Greater Geelong City Council
SOUTHERN GRAMPIANS SHIRE,ADZAR,PRSH,PARISH,142.4331944,-37.6543056,,,
SOUTH GIPPSLAND SHIRE,AGNES SMITH RESERVE,PARK,PARK,146.10375,-38.3623611,"'The name 'Agnes Smith Reserve' has been chosen because the late Agnes Smith is the wife of the original selector of the property and she is the great grandmother of the person now offering the land to the Council.  The late Agnes Smith was also responsible for starting the old Allambee South School, the first school in the district.'",,
YARRIAMBIACK SHIRE,AILSA,NBHD,NEIGHBOURHOOD,142.3606944,-36.3326389,,,
MAROONDAH CITY,AINSLIE PARK,PARK,PARK,145.2633285,-37.7954342,,,
COLAC OTWAY SHIRE,AIRE,PRSH,PARISH,143.43375,-38.7479167,,,
LATROBE CITY,AIRLIE BANK RESERVE,PARK,PARK,146.4376403,-38.2293379,,,
MOONEE VALLEY CITY,AIRPORT WEST SHOPPING TOWN,SHCE,SHOPPING CENTRE,144.8877778,-37.7133333,,,
GREATER GEELONG CITY,AITKEN CRT RESERVE,PARK,PARK,144.3923113,-38.1823168,,,
LODDON SHIRE,AJ MITCHELL PARK,PARK,PARK,143.8736776,-36.5731304,,,
CASEY CITY,AKOONAH PARK,PARK,PARK,145.365615,-38.0396107,,,
MORNINGTON PENINSULA SHIRE,ALAMEDA RESERVE,PARK,PARK,145.0417668,-38.236289,,,
BOROONDARA CITY,ALAMEIN,NBHD,NEIGHBOURHOOD,145.0934722,-37.8665278,"The estate was named after El Alamein, north Africa, the site of the battle in 1942 which turned back the German army. ",https://www.victorianplaces.com.au/alamein,
GREATER DANDENONG CITY,ALAN CORRIGAN RESERVE,PARK,PARK,145.1630993,-37.983346,"Named after Alan Corrigan (1911-2004), an active local citizen as a member of the Rotary Club of Noble Park and the Keysborough Rural Fire Brigade.  His ancestors were early settlers in the Keysborough district as dairy farmers. [Corrigan Road is named after them.]  ",,City of Greater Dandenong
WODONGA CITY,ALAN CRACKNELL PARK,PARK,PARK,146.882994,-36.1404517,Alan Cracknell was Wodonga High School principal for 14 years. He helped create many of Wodonga's educational institutions including the Albury Wodonga Community College and University of the Third Age. He received Wodonga's Community Service Award in 1993 and the Australian Centenary Medal in 2003.,,
WODONGA CITY,ALAN GOYNE PARK,PARK,PARK,146.8509655,-36.1341839,"Alan Goyne was a member of the civil construction core and built Army huts at Bandiana.  Afterwards he and Arthur Dunstan became partners in their business, Goyne and Dunstan. Mr Dunstan supplied the materials and Mr Goyne built approximately 350 houses in Wodonga over a period of 23 years, many of these for public housing.",,
MANNINGHAM CITY,ALAN MORTON RESERVE,PARK,PARK,145.20662,-37.7840695,"'The late Alan Patrick Morton was a resident of the area and very prominent in welfare work in the community through his local church.  Mr. Morton was also a Justice of the Peace, and while a local councillor (1972 - 74) he continued to be involved in welfare and community development.'",,
WELLINGTON SHIRE,ALAN SEMPLE MEMORIAL PARK,PARK,PARK,146.7845102,-38.1563037,,,
HINDMARSH SHIRE,ALBACUTYA,PRSH,PARISH,141.9765278,-35.8154167,"Traditional name: Ngelbakutya. 'Kutya, sour quandong'",,
KNOX CITY,ALBERNI RESERVE,PARK,PARK,145.2721744,-37.9096306,Named after the Alberni family who were local market gardeners. They originally migrated from Spain and were known in the area from the early 1920's to after the Second World War. The descendants still live locally. The Alberni brothers were closely associated with the Ferntree Gully Football Club. ,,
LATROBE CITY,ALBERT DEPPELER MEMORIAL TENNIS COURTS,PARK,PARK,146.3602778,-38.3602778,Previously informally known as the Yinnar South Tennis Courts. Named after Albert Deppeler in recognition of his contribution to the Yinnar South district.,,Latrobe City Council
BALLARAT CITY,ALBERT H GRAHAM RESERVE,PARK,PARK,143.8629975,-37.5651263,"Commemorates Alber Graham's long and continued support and involvement with The Ballarat Youth Centre and The Peel Street, Church of Christ in Ballarat.  ",,
COLAC OTWAY SHIRE,ALBERT NEWCOMBE PLAYGROUND,PARK,PARK,143.5681944,-38.3504167,'The subdivision was created by the late Mr. A. Newcombe and is known locally as the Newcombe Estate when referred to.',,
WARRNAMBOOL CITY,ALBERT PARK,PARK,PARK,142.498469,-38.380689,,,
PORT PHILLIP CITY,ALBERT PARK,PARK,PARK,144.9710528,-37.8484139,"'took its name from the adjacent park, which was called after Prince Albert, consort of Queen Victoria.'",,
PORT PHILLIP CITY,ALBERT PARK LAKE,LAKE,LAKE,144.970232,-37.8449575,"'took its name from the adjacent park, which was called after Prince Albert, consort of Queen Victoria.'",,
PORT PHILLIP CITY,ALBERT PARK PLAYING FIELDS,PARK,PARK,144.9668056,-37.8473611,"'took its name from the adjacent park, which was called after Prince Albert, consort of Queen Victoria.'",,
PORT PHILLIP CITY,ALBERT PARK SPORTS CENTRE,SPFA,SPORT FACILITY,144.9670833,-37.8365278,"'took its name from the adjacent park, which was called after Prince Albert, consort of Queen Victoria.'",,
BANYULE CITY,ALBERT RESERVE,PARK,PARK,145.0598611,-37.7676389,,,
GREATER BENDIGO CITY,ALBERT ROY RESERVE,PARK,PARK,144.2474446,-36.7248441,,,
WODONGA CITY,ALBERT TERRILL RESERVE,PARK,PARK,146.8431823,-36.125148,,,
WODONGA CITY,ALBERT TERRILL RESERVE,PARK,PARK,146.8431823,-36.125148,"Albert Terrill served as a Wodonga councillor for 20 years from 1958 to 1978.  Mr Terrill was elected to office on five separate occasions, serving as shire president from 1969 to 1971. He was in office when the Wodonga Civic Centre was opened. His family farm was located in West Wodonga.",,
MOONEE VALLEY CITY,ALBERT WALLIS RESERVE,PARK,PARK,144.9231944,-37.7754167,'...in recognition of Mr. Albert Wallis who served as a Councillor of the City of Essendon and represented the people in that particular area for many years.',,
WELLINGTON SHIRE,ALBERTON EAST,PRSH,PARISH,146.6865278,-38.6268056,"'The township, after which this station was named, was surveyed by Mr. Townsend in 1842.  The design was sent in on 30th March, and was laid before the Executive Council on 15th July.  The name 'Albert Town' found favour, but the surveyor's modification was ultimately adopted, and the name - Alberton - gazetted on 27th September, 1842.  The name was given in honour of Prince Albert.'",,
WELLINGTON SHIRE,ALBERTON RECREATION RESERVE,PARK,PARK,146.6630795,-38.6172118,"'The township, after which this station was named, was surveyed by Mr. Townsend in 1842.  The design was sent in on 30th March, and was laid before the Executive Council on 15th July.  The name 'Albert Town' found favour, but the surveyor's modification was ultimately adopted, and the name - Alberton - gazetted on 27th September, 1842.  The name was given in honour of Prince Albert.'",,
WELLINGTON SHIRE,ALBERTON WEST,PRSH,PARISH,146.5898611,-38.6409722,"'The township, after which this station was named, was surveyed by Mr. Townsend in 1842.  The design was sent in on 30th March, and was laid before the Executive Council on 15th July.  The name 'Albert Town' found favour, but the surveyor's modification was ultimately adopted, and the name - Alberton - gazetted on 27th September, 1842.  The name was given in honour of Prince Albert.'",,
SURF COAST SHIRE,ALCOA OVAL,PARK,PARK,144.2016667,-38.3986111,,,
GREATER GEELONG CITY,ALDERSHOT ROAD DRAINAGE RESERVE,PARK,PARK,144.3950744,-38.185625,,,
MORELAND CITY,ALEX G GILLON OVAL,PARK,PARK,144.9509722,-37.7640278,"'Named after Alexander George Gillon, O. B. E., J. P.  Mayor 1959 - 1960, 1965 - 1966, 1976 - 1977.  President Victorian Football Association 24 yrs.'",,
BAYSIDE CITY,ALEXANDER PARK,PARK,PARK,145.0075045,-37.9380803,,,
BALLARAT CITY,ALEXANDER PARK,PARK,PARK,143.7122222,-37.4227778,This name was in use many years ago but had fallen into disuse. It was restored and gazetted in 2006. [Original reason for this name not recorded.],,City of Ballarat
MURRINDINDI SHIRE,ALEXANDER RACECOURSE AND RECREATION RESERVE,PARK,PARK,145.7170833,-37.1818056,,,
GREATER GEELONG CITY,ALEXANDER WEBB PARK,PARK,PARK,144.3430556,-38.1747222,Named in honour of a prominent Geelong artist who lived close to the site until his death in 1892.,,
MOYNE SHIRE,ALEXANDERS LAKE,LAKE,LAKE,142.8238483,-37.7811986,,,
MURRINDINDI SHIRE,ALEXANDRA,PRSH,PARISH,145.6823611,-37.1643056,"'named in honour of Alexandra, Princess of Wales'",,
MURRINDINDI SHIRE,ALEXANDRA,PRSH,PARISH,145.6823611,-37.1643056,"town, parish, former railway station, former shire (1869 - 1994). A mining camp and settlement, starting with (Richard) Vining's Red Gate Shanty (on the site of the present library), sprang up as a result of gold being discovered in 1866 and 1867 in three areas nearby. The settlement was at first known as Red Gate (Diggings), from a gate in a fence just south of Ultima Thule Creek that was the boundary between the Mount Pleasant A and B pastoral runs, and was occasionally called the McKenzie Diggings (after Donald McKenzie of the Mount Pleasant A run). John Downey, who surveyed the town, planned to call the place Eglinton (after the pastoral run), but it was renamed (24 April 1867) in honour of ""The Rose of Denmark"", Princess Alexandra Caroline Marie Charlotte Louise Julie (1844 - 1925), who in 1863 married Albert Prince of Wales. (She became queen consort in 1901 when her husband became King Edward VII.) There is a marble statue of the Princess by Charles Summers (1827-78) in the Jack Shiel Gardens (q.v.). Alexandra is a feminine form of Alexander - Greek Alex-andros ('????-a?d???) ""defender of men"". See also Alexandra Timber Tramway and Museum, Lucky Mine Lookout, McKenzie Flora Reserve, McKenzie's Pinch and Ultima Thule Creek.",,
MELBOURNE CITY,ALEXANDRA GARDENS,PARK,PARK,144.9723432,-37.8206285,,,
ARARAT RURAL CITY,ALEXANDRA GARDENS,PARK,PARK,142.9304025,-37.2817828,,,
BOROONDARA CITY,ALEXANDRA GARDENS,PARK,PARK,145.0334946,-37.8076565,,,
MORNINGTON PENINSULA SHIRE,ALEXANDRA PARK,PARK,PARK,145.0406345,-38.224782,"The council purchased Alexandra Park for ÿ£200 ($400) in 1896. This became the Mornington Football Club's home ground, and it is now home to Mornington Football Netball & Cricket Clubs. The Mornington Cricket Club was established in 1863.  By 1905 the reserve was fenced and charges were made for entry, half the proceeds going towards improvements.  It was listed among the civic assets by Cr F. Linley in his submission to the Railway Commissioners, noting then that money was being spent on football and cricket at the reserve. A further two acres (.8 hectare) were acquired there in 1948. 
Possibly named in honour of Queen Alexandra, mother of King George V who reigned between 1910-1936, and after who King Georges Ave in Mornington was named.",,
MORNINGTON PENINSULA SHIRE,ALEXANDRA PARK,PARK,PARK,145.0406345,-38.224782,Renamed in 1909 after John Payne of Payne's Bon Marche in Bourke Street.,,Royal Historical Society of Victoria
GLENELG SHIRE,ALEXANDRA PARK,PARK,PARK,141.584662,-38.3467771,"'The name is associated with Alexandra Park in London, and the name of the local park was suggested by the naming of the famous London Park in honour of the Princess of Wales, Alexandra.'",,
MURRINDINDI SHIRE,ALEXANDRA RECREATION RESERVE,PARK,PARK,145.7170833,-37.1818056,,,
MURRINDINDI SHIRE,ALF MILLER RESERVE,PARK,PARK,145.4261279,-37.4192622,Named in honour of Alf Miller who was a member of an early Glenburn family and who originally donated the land to the Glenburn community.,,Murrundindi Shire Council
MORELAND CITY,ALF WALKER PAVILION,PARK,PARK,144.98105,-37.760575,"Alf Walker served as a member of the Brunswick Cycling Club Committee until his passing in 2016, providing 68 years as a continuous volunteer. During this time he assisted as Club Coach, Secretary and Treasurer. He was voted a life member of the club in 1958, and in 1986 was recognised as a life member of Cycling Victoria and Cycling Australia.",,
BALLARAT CITY,ALFRED DEAKIN PLACE,PARK,PARK,143.8589013,-37.5607647,"Named in recognition of  Alfred Deakin who was born in Fitzroy, Victoria, in 1856. He was a member of the Victorian parliament from 1880 - 1900 and was the member for Ballarat in Australia's first House of Representatives, and was Prime Minister three times.

Alfred Deakin retired from politics in 1913, and died in 1919.",,
WODONGA CITY,ALFRED INGRAM PARK,PARK,PARK,146.8315637,-36.1208722,"Alfred Ingram was born in 1911. He owned a dairy farm in West Wodonga and part of McFarlane Hill. He supplied Wodonga businesses with wood obtained by ringbarking trees on the hill, chopping them down and carting them down the hill. In 1974, the Albury-Wodonga Development Corporation acquired his land.",,
WODONGA CITY,ALFRED INGRAM PARK,PARK,PARK,146.8315637,-36.1208722,,,
YARRA RANGES SHIRE,ALFRED NICHOLAS GARDENS,PARK,PARK,145.3593056,-37.8740278,,,
UNKNOWN,ALFRED THOMAS SPARKE RESERVE,PARK,PARK,,,,,
BALLARAT CITY,ALFREDTON RECREATION RESERVE,PARK,PARK,143.7990919,-37.5560704,,,
BAW BAW SHIRE,ALHAMBRA,NBHD,NEIGHBOURHOOD,146.2048611,-37.60875,"(locality), Marysville Woods Point Road, 1 km west of Matlock. Alhambra - or Spring Hill - sprang up in 1864, and was briefly a ""suburb"" of Matlock with about twenty dwellings. Alhambra declined rapidly after gold petered out in its immediate area in 1867. From the Alhambra Reef, named after the Alhambra Palace in Granada, Spain. Arabic: Al Hamra, ""The Red (One)"".",,
BRIMBANK CITY,ALICES PLAYSPACE,PLAY,PLAYGROUND,144.803869,-37.7449267,"Named after Mrs Alice Errington, a well-known local benefactor and donor of the Errington Reserve to the people of St Albans in1910. [Previously known as Alice's Playground.]",,Brimbank City Council
NILLUMBIK SHIRE,ALISTAIR KNOX PARK,PARK,PARK,145.1442972,-37.7197815,"'Alistair Knox served as a Councillor of the Shire from 1971 - 1975, his final year as Shire President.  It was during these years that the proposals to create the park were formed, and the redevelopment works began.'",,
GREATER GEELONG CITY,ALKARA AVENUE RESERVE,PARK,PARK,144.4134754,-38.0186518,,,
DAREBIN CITY,ALL NATIONS PARK,PARK,PARK,145.0050891,-37.7680821,The name selected signified and celebrated the diversity of the Darebin community.  ,,
INDIGO SHIRE,ALL SAINTS CELLARS,WINE,WINERY,146.4131944,-35.9973611,,,
SOUTH GIPPSLAND SHIRE,ALLAMBEE,PRSH,PARISH,145.9656944,-38.3326389,"Traditional Name: Allambee Explanation: N/A Discussion on Current Name: rural district SE of Warragul,  Gardner 1992: 14.",http://www.vaclang.org.au,
SOUTH GIPPSLAND SHIRE,ALLAMBEE EAST,PRSH,PARISH,146.0984722,-38.3418056,,,
BAW BAW SHIRE,ALLAMBEE EAST,NBHD,NEIGHBOURHOOD,146.14875,-38.3348611,,,
MORNINGTON PENINSULA SHIRE,ALLAMBI COURT RESERVE,PARK,PARK,145.1052434,-38.1808326,,,
MOYNE SHIRE,ALLANS FOREST,NBHD,NEIGHBOURHOOD,142.6273611,-38.3943056,,,
WARRNAMBOOL CITY,ALLANSFORD RECREATION RESERVE,PARK,PARK,142.5996005,-38.3851556,,,
MORELAND CITY,ALLARD PARK,PARK,PARK,144.9783281,-37.7600501,"'Named after James Allard.  Councillor 1891 - 1921 (30 yrs.).  Mayor 1893 -1894. 1905 - 1906, 1911- 1912, 1919 - 1920.'",,
MANSFIELD SHIRE,ALLEN BAY,BAY,BAY,146.0976853,-37.203192,"Goulburn Arm, Lake Eildon. Named after Sidney Albert Allen (1882 - 1965, youngest son of Thomas Allen of Ten Mile) who, after his marriage in 1913, settled near Darlingford at Pine Lodge farm on the Goulburn River. In 1927 he moved further upstream to Greenvale farm [Brian Lloyd] (Bumbers). See also New Fry's Bridge.",,
SURF COAST SHIRE,ALLENVALE,NBHD,NEIGHBOURHOOD,143.9595833,-38.5476389,,,
GREATER BENDIGO CITY,ALLINGHAM STREET RESERVE,PARK,PARK,144.2621696,-36.7749685,,,
GREATER GEELONG CITY,ALLISTER RESERVE,PARK,PARK,144.387513,-38.0170555,,,
KINGSTON CITY,ALLNUT RESERVE,PARK,PARK,145.0866667,-38.0102778,,,
HOBSONS BAY CITY,ALMA AVENUE RESERVE,PARK,PARK,144.783153,-37.8694532,,,
PORT PHILLIP CITY,ALMA PARK EAST,PARK,PARK,144.9958685,-37.8603168,,,
PORT PHILLIP CITY,ALMA PARK WEST,PARK,PARK,144.9937329,-37.8602457,,,
WODONGA CITY,ALMA ROGERS PARK,PARK,PARK,146.8615329,-36.1194616,,,
GREATER GEELONG CITY,ALMERTA AVENUE PLAYGROUND,PARK,PARK,144.5639249,-38.1630347,,,
INDIGO SHIRE,ALMONDS RECREATION RESERVE,PARK,PARK,146.9209722,-36.2456944,,,
BASS COAST SHIRE,ALMURTA EAST,NBHD,NEIGHBOURHOOD,145.6131944,-38.4640278,,,
YARRA CITY,ALPHINGTON PARK,PARK,PARK,145.0298457,-37.7840354,,,
EAST GIPPSLAND SHIRE,ALPINE NATIONAL PARK BOGONG UNIT,PARK,PARK,147.2820833,-36.9270833,,,
EAST GIPPSLAND SHIRE,ALPINE NATIONAL PARK COBBERAS TINGARINGY UNIT,PARK,PARK,148.1804167,-36.9484722,,,
TOWONG SHIRE,ALPINE NATIONAL PARK DARTMOUTH UNIT,PARK,PARK,147.6726389,-36.6640278,,,
WELLINGTON SHIRE,ALPINE NATIONAL PARK WONNANGATTA MOROKA UNIT,PARK,PARK,146.7756944,-37.2851389,,,
MAROONDAH CITY,ALTO FLORA RESERVE,PARK,PARK,145.2715996,-37.7909514,,,
MAROONDAH CITY,ALTO RESERVE,PARK,PARK,145.2715996,-37.7909514,,,
UNINCORPORATED,ALTONA BAY,BAY,BAY,144.8307348,-37.8837375,,,
HOBSONS BAY CITY,ALTONA COASTAL PARK,PARK,PARK,144.8584722,-37.8598611,,,
